id,instrument,article,in_force_from,supersedes,binds,subject,value,unit,what_it_actually_says,what_it_does_not_establish,source_url,verified_at
law-chain-advertising,Luật 75/2025/QH15,Điều 1,2026-01-01,amends Luật 16/2012/QH13 as already amended by 35/2018 42/2024 47/2024,everyone,which_advertising_law_applies,Luật 16/2012 as amended four times,rule,"Passed 16 June 2025 and in force 1 January 2026. The advertising statute now reads as Law 16/2012 plus four amending laws, so a citation to Luật Quảng cáo 2012 on its own is a citation to text that has been overwritten - including the whole of Điều 15a, which did not exist before this law.","Does not restate the unamended articles, so the consolidated text has to be read across five documents rather than one.",https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
law-commercial-advertising-moved,Luật 75/2025/QH15,Điều 2.2,2026-01-01,repeals Mục 2 Chương IV Luật Thương mại 36/2005/QH11,everyone,where_commercial_advertising_lives,advertising provisions of the Commercial Law repealed,rule,The commercial-advertising section of the Commercial Law was cut out entirely and the advertising statute is now the single instrument. Any guide that reasons from Luật Thương mại on advertising is reasoning from a repealed section.,"Does not affect the rest of the Commercial Law, which still governs promotions and trade displays.",https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
decree-38-2021-repealed,Nghị định 87/2026/NĐ-CP,Điều khoản thi hành,2026-05-15,repeals Nghị định 38/2021/NĐ-CP,everyone,which_penalty_decree_applies,ND 38/2021 ceases to apply,rule,"ND 38/2021 is the decree every pre-2026 Vietnamese marketing guide quotes for advertising fines, and it is dead law from 15 May 2026. The fine figures in ND 87/2026 are not a reprint - the influencer article is new and the amounts differ.","Does not clear conduct before 15 May 2026, which is still judged under the decree in force at the time.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
decree-181-2013-repealed,Nghị định 342/2025/NĐ-CP,Điều khoản thi hành,2026-02-15,repeals Nghị định 181/2013/NĐ-CP and Nghị định 70/2021/NĐ-CP,everyone,which_detail_decree_applies,ND 342/2025,rule,The two detail decrees behind the old advertising law are both gone. ND 342/2025 replaces them and carries the sectoral content rules for food cosmetics and medical devices.,"Does not implement Điều 15a at all - its Điều 1 scope list enumerates nine provisions and Điều 15a is not among them, so no decree currently prescribes how an influencer discloses.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-342-2025-nd-cp-45934.htm,2026-07-31
ministry-changed,Luật 75/2025/QH15,throughout,2026-01-01,-,everyone,which_ministry_regulates,Bộ Văn hóa Thể thao và Du lịch,rule,"State management of advertising sits with the culture sports and tourism ministry. The former information and communications ministry domain mic.gov.vn no longer resolves, so any guidance link into it is dead.",Does not change which ministry handles the sectoral product approvals - food and cosmetics remain with health.,https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
advertising-defined,Luật 75/2025/QH15,Điều 2.1 as amended,2026-01-01,-,everyone,what_counts_as_advertising,using people or means to introduce a product or its seller to a recipient,rule,"Quảng cáo là việc sử dụng người, phương tiện nhằm giới thiệu đến người tiếp nhận quảng cáo về sản phẩm, hàng hóa, dịch vụ, tổ chức, cá nhân sản xuất, kinh doanh. The amended definition names no payment and no profit purpose, and it reaches introducing the trading organisation itself rather than only its products.",Do not read it as settling either side of the advertorial question. It does not make an independent article the brand's advertising - Điều 23.3 allocates liability by role - and the scope provision of the unamended Luật 16/2012 that would carve out news reporting is not in this corpus.,https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
press-agency-is-a-publisher,Luật 75/2025/QH15,Điều 2.7 as amended,2026-01-01,-,everyone,is_the_outlet_inside_the_regime,cơ quan báo chí named expressly,rule,"Người phát hành quảng cáo is defined to include cơ quan báo chí, nhà xuất bản, chủ trang thông tin điện tử and người tổ chức chương trình văn hóa, thể thao, being those who use advertising people or means under their own management. So the outlet you pitch is a named role inside the regime, not a bystander to it.","Does not make the outlet liable for the advertiser's claim, and does not decide when a given article puts the outlet in the role - that turns on facts this corpus cannot supply.",https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
conveyor-defined,Luật 75/2025/QH15,Điều 2.8 as amended,2026-01-01,-,any conveyor,who_counts_as_conveying_an_ad,anyone who recommends or endorses on a network,rule,"The definition covers a person who directly advertises, who recommends or confirms a product on a network, or who advertises with profit intent. No contract no media buy and no formal ad placement is needed - an affiliate link with a recommendation attached is inside it.",Does not require the person to be paid in money - profit intent is enough and commission is profit.,https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
influencer-defined,Nghị định 55/2024/NĐ-CP,Điều 2.1,2024-07-01,-,influencer,who_counts_as_an_influencer,sponsorship plus one of three limbs,rule,"Influencer status is defined in consumer-protection law and not in advertising law. It needs sponsorship in any form plus one of three limbs, and limb c is satisfied by a significant following OR by holding an account eligible to join advertising or commerce programmes on digital platforms. Qualifying for a platform affiliate programme is therefore itself evidence of being inside the definition.","Does not set any number. Sweeps for follower count and for the terms KOL and KOC return nothing in either instrument; the only quantifier is the adjective đáng kể. The three-million figure in Điều 2.2 is the large-platform threshold, not a follower count.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-55-2024-nd-cp-30735.htm,2026-07-31
conveyor-general-duties,Luật 75/2025/QH15,Điều 15a.2,2026-01-01,-,any conveyor,duties_of_any_conveyor,truthful information plus tax plus documents on request,rule,"Everyone conveying an ad owes consumer-protection compliance and truthful information on features and quality, owes tax on advertising revenue, must produce documents when officially asked, and is answerable in law if the content breaches the prohibited-content article. Online conveyors carry the network duties on top.",Does not distinguish a paid campaign from an unpaid recommendation with commission behind it.,https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
